กลุ่มยาหลัก (Major Category),กลุ่มประเภทยา (Drug Class),รหัส ATC (ATC Code),ชื่อสามัญทางยา (Generic Name),ตัวอย่างชื่อการค้าที่พบบ่อย (Common Trade Names in TH),กลไกเพิ่มความเสี่ยงหกล้ม (Mechanism of Fall Risk),แนวทางการปรับลดยา (Deprescribing Strategy / Clinical Management),ระดับคำแนะนำตามเกณฑ์สากล (AGS Beers / STOPP-Fall Recommendation)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Benzodiazepines (Long-acting),N05BA01,Diazepam,"Valium, Diapam",กดระบบประสาทส่วนกลาง ง่วงซึม สูญเสียการทรงตัว (Sedation/Ataxia),ลดขนาดยาลง 25% ทุก 1-2 สัปดาห์ ค่อยๆ หยุดยา ติดตามอาการนอนไม่หลับ/วิตกกังวล,หลีกเลี่ยงเด็ดขาดในผู้สูงอายุ (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Benzodiazepines (Short/Intermediate),N05BA06,Lorazepam,"Ativan, Lorsedin",ง่วงซึม เสียการทรงตัว สับสนเฉียบพลัน ปฏิกิริยาตอบสนองช้าลง,ลดขนาดยาทีละ 0.5 mg ทุก 1 สัปดาห์ พิจารณา Cognitive Behavioral Therapy (CBT-I),หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Benzodiazepines,N05BA12,Alprazolam,"Xanax, Alprax",ง่วงซึม ความจำถดถอย สูญเสียสมดุลการเดิน,ค่อยๆ ลดขนาดยาช้าๆ ทีละ 0.25 mg เพื่อป้องกันอาการถอนยา (Rebound anxiety),หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Benzodiazepines,N03AE01,Clonazepam,"Rivotril, Klonopin",ฤทธิ์กล้ามเนื้อคลายตัว (Muscle relaxation) ทำให้ขาอ่อนแรง ล้มง่าย,ลดขนาดยาทีละน้อย ใช้ทางเลือกที่ไม่ใช่ยา เช่น การปรับพฤติกรรม,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Benzodiazepines,N05CD08,Midazolam,Dormicum,หลับลึกเฉียบพลัน สูญเสียการทรงตัวหากตื่นกลางดึก,จำกัดการใช้เฉพาะหัตถการ ไม่ควรใช้รักษาอาการนอนไม่หลับเรื้อรัง,หลีกเลี่ยงการใช้ระยะยาว (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Z-drugs (Non-benzodiazepine hypnotics),N05CF01,Zolpidem,"Stilnox, Zopim",ง่วงซึม สับสน ละเมอเดิน ลุกสะดุดล้มตอนกลางคืน (Sleep-walking),หยุดยาและปรับสุขอนามัยการนอนหลับ (Sleep Hygiene) ลดขนาดเหลือ 5 mg ก่อนหยุด,หลีกเลี่ยงการใช้ (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Benzodiazepines,N05BA09,Clobazam,Frisium,ง่วงซึม กล้ามเนื้ออ่อนแรง เสียสมดุล,ประเมินข้อบ่งชี้โรคลมชัก หากใช้คลายกังวลควรลดและหยุดยา,หลีกเลี่ยงยกเว้นมีข้อบ่งชี้ชัก (Avoid for anxiety)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Benzodiazepines,N05CD02,Nitrazepam,Mogadon,ง่วงซึมตกค้างในตอนเช้า (Hangover effect) เดินเซ,ลดขนาดยาลงและเปลี่ยนไปใช้วิธีไม่ใช้ยา,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Benzodiazepines,N05CD01,Flurazepam,Dalmane,สารออกฤทธิ์สะสมยาวนาน (>40 ชม.) ทำให้ง่วงซึมเรื้อรัง,หยุดยาและเปลี่ยนเป็นยาอื่นที่มีครึ่งชีวิตสั้นกว่าหากจำเป็นอย่างยิ่ง,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Benzodiazepines,N05BA02,Chlordiazepoxide,"Librium, Librax (comb)",ง่วงซึม สับสน ตาพร่า ความดันตก,ทบทวนการใช้ยาแก้ปวดท้อง/ทางเดินอาหารที่มีส่วนผสม BZD เพื่อหยุดยา,หลีกเลี่ยงเด็ดขาด (Strongly Avoid)
ยากลุ่มออกฤทธิ์ต่อจิตประสาท (Psychotropics),Antipsychotics (Typical),N05AD01,Haloperidol,Haldol,"กล้ามเนื้อเกร็งกระตุก สั่น เดินซอยเท้า (Parkinsonism/EPS), ความดันตก",ประเมินซ้ำทุก 1 เดือน ค่อยๆ ลดยาลง 25-50% ทุก 2 สัปดาห์ ไม่ใช้คุมพฤติกรรมสมองเสื่อมระยะยาว,หลีกเลี่ยงยกเว้นจิตเภทชัดเจน (High Risk)
